,"OI","CHNG IN OI","VOLUME","IV","LTP","CHNG","BID QTY","BID","ASK","ASK QTY","STRIKE","BID QTY","BID","ASK","ASK QTY","CHNG","LTP","IV","VOLUME","CHNG IN OI","OI",
,132,4,28,8.85,635.20,-15.35,75,623.40,680.55,300,"24,700.00",150,401.05,405.95,150,13.00,401.00,13.30,147,68,190,
,23,1,3,8.70,597.10,-44.75,300,593.30,621.00,75,"24,750.00",150,420.10,424.75,75,20.90,424.75,13.39,3,1,16,
,141,10,26,8.88,574.00,-29.35,75,563.10,590.40,75,"24,800.00",150,440.75,445.60,150,15.90,440.20,13.27,244,-41,308,
,17,-,-,-,495.25,-,75,428.95,575.30,900,"24,850.00",150,462.15,467.30,150,-,471.70,-,-,-,20,
,237,-1,2,9.10,524.35,-15.85,75,509.60,538.95,300,"24,900.00",150,484.40,489.15,150,23.90,481.40,13.23,12,8,68,
,26,2,7,9.18,500.20,-1.70,150,491.00,495.95,150,"24,950.00",150,506.90,512.10,150,-,485.00,-,-,-,26,
,"3,399",-25,"1,234",9.10,469.45,-17.15,75,467.35,471.30,75,"25,000.00",150,532.60,537.70,150,20.75,534.00,13.39,"2,548","1,168","4,402",
,26,3,4,9.50,461.30,31.55,150,441.05,446.10,150,"25,050.00","1,500",361.05,568.80,300,-,565.00,-,-,-,11,
,123,1,8,9.13,420.00,-25.00,"1,800",418.60,422.70,150,"25,100.00",75,561.75,598.25,75,6.20,583.70,13.42,2,2,22,
,31,4,9,9.26,401.55,19.55,150,394.10,399.10,150,"25,150.00",75,502.75,620.10,300,-,663.20,-,-,-,5,
,245,5,30,9.31,380.55,-9.20,150,372.00,376.40,"1,800","25,200.00",600,435.65,657.00,75,14.45,624.75,13.21,16,2,38,
,31,7,8,9.12,349.75,-10.70,300,350.20,354.90,150,"25,250.00",75,545.95,674.05,300,-,718.85,-,-,-,3,
,223,1,15,9.34,338.20,-4.50,150,330.35,334.50,"1,800","25,300.00",75,569.00,723.40,75,-,685.00,-,-,-,13,
,16,6,6,9.41,320.55,8.90,150,309.10,313.50,150,"25,350.00",75,591.30,731.60,75,-,784.40,-,-,-,3,
,62,9,15,9.44,302.35,-1.40,150,290.65,294.75,150,"25,400.00",900,616.05,"1,000.80",75,-,796.20,-,-,-,74,
,-,-,-,-,-,-,900,251.30,336.90,900,"25,450.00",-,-,793.35,75,-,850.30,-,-,-,5,
,"5,510",498,"1,805",9.30,259.65,-8.05,75,260.00,260.50,150,"25,500.00",300,807.35,822.65,75,23.55,813.25,13.69,444,-180,"1,594",
,-,-,-,-,-,-,-,-,-,-,"25,550.00",75,688.90,"1,240.85",75,-,837.20,-,-,-,3,
,-,-,-,-,-,-,75,214.45,264.70,75,"25,600.00","1,725",575.50,"1,273.50",75,-,885.10,-,-,-,13,
,-,-,-,-,-,-,-,-,301.60,75,"25,650.00",75,740.95,"1,311.55",75,-,902.35,-,-,-,3,
,"1,834",220,736,9.26,195.00,-7.40,75,192.10,195.05,150,"25,700.00",825,767.95,963.20,75,-,977.00,-,-,-,6,
,-,-,-,-,-,-,-,-,304.05,900,"25,750.00","1,725",693.90,"1,000.20",75,-,999.35,-,-,-,3,
,-,-,-,-,-,-,-,-,229.45,450,"25,800.00","1,725",746.05,"1,037.35",75,-,969.00,-,-,-,5,
,-,-,-,-,-,-,-,-,273.05,75,"25,850.00",75,796.90,"1,491.25",75,-,"1,072.45",-,-,-,2,
,-,-,-,-,-,-,-,-,211.95,900,"25,900.00",75,880.70,"1,660.60",75,-,"1,116.55",-,-,-,1,
,-,-,-,-,-,-,-,-,208.40,900,"25,950.00",75,910.20,"1,617.80",75,-,"1,148.60",-,-,-,1,
,"6,260",234,"2,729",9.41,128.40,-4.45,75,127.50,128.60,225,"26,000.00",300,"1,134.15","1,188.15",375,35.05,"1,167.90",14.44,29,-10,161,
,-,-,-,-,-,-,-,-,187.15,75,"26,050.00",75,970.95,"1,727.95","1,725",-,"1,294.75",-,-,-,3,
,-,-,-,-,-,-,-,-,176.85,150,"26,100.00","1,725","1,059.50","1,278.40",75,-,"1,345.80",-,-,-,2,
,-,-,-,-,-,-,-,-,172.80,975,"26,150.00",75,"1,224.65","1,320.85",75,-,"1,388.00",-,-,-,2,
,-,-,-,-,-,-,-,-,163.20,75,"26,200.00",75,"1,262.30","1,435.70",75,-,"1,435.70",-,-,-,3,
,-,-,-,-,-,-,-,-,158.15,75,"26,250.00",75,"1,204.60","1,407.65",75,-,"1,463.50",-,-,-,2,
,74,38,88,9.46,79.50,-7.90,300,79.00,81.00,300,"26,300.00",75,"1,251.35","1,497.15",75,-,"1,509.80",-,-,-,3,
,-,-,-,-,-,-,-,-,145.00,975,"26,350.00",75,"1,366.60","2,007.45","1,725",-,"1,553.40",-,-,-,2,
,195,5,163,9.57,69.50,-1.65,300,67.65,69.30,75,"26,400.00",75,"1,410.80","1,591.55",75,-,"1,598.50",-,-,-,2,
,-,-,-,-,-,-,-,-,130.65,150,"26,450.00",75,"1,450.05","1,639.60",75,-,"1,642.90",-,-,-,2,
,"2,785",-97,"1,280",9.66,60.00,-1.55,150,60.00,60.20,75,"26,500.00",75,"1,489.95","1,633.30",75,-,"1,686.70",-,-,-,12,
